File,Chip mass (kg),Fill height (m),Fill volume (cm^3),Bulk density (g/L)
BBox_Run_0.75_1.fbx,0.08173869077290874,0.0797465443611145,1691.2260285330458,48.33102695552063
BBox_Run_0.75_10.fbx,0.08221869243425317,0.08035115897655487,1704.7312375447225,48.22970954217422
BBox_Run_0.75_2.fbx,0.08271728904219344,0.07828369736671448,1658.5938104529196,49.871938820033016
BBox_Run_0.75_3.fbx,0.08401319182303268,0.08173394203186035,1735.6576197322918,48.40424221223475
BBox_Run_0.75_4.fbx,0.08077121217502281,0.0736081600189209,1554.704692968054,51.95276796960341
BBox_Run_0.75_5.fbx,0.08414956022897968,0.09088167548179626,1941.6308508631344,43.33962874125726
BBox_Run_0.75_6.fbx,0.07751477799320128,0.08113926649093628,1722.3508061629468,45.00522060653178
BBox_Run_0.75_7.fbx,0.07795927295228466,0.07848784327507019,1663.1440900401637,46.874635468537186
BBox_Run_0.75_8.fbx,0.08096792685682885,0.0876435786485672,1868.44603463751,43.33436735973867
BBox_Run_0.75_9.fbx,0.08041294281429145,0.08144421875476837,1729.1733348482073,46.50369121112452
BBox_Run_0.85_1.fbx,0.08783678084728308,0.08947654068470001,1909.8360946861192,45.99179012883774
BBox_Run_0.85_10.fbx,0.08950659178663045,0.0871676504611969,1857.7149091420308,48.18101601389864
BBox_Run_0.85_2.fbx,0.09274142203503288,0.09082557260990143,1940.3602909546503,47.795980193660036
BBox_Run_0.85_3.fbx,0.09045092199812643,0.10112358629703522,2175.1010208910766,41.58469934470965
BBox_Run_0.85_4.fbx,0.08935724637558451,0.08329053223133087,1770.5367539166896,50.469015216946524
BBox_Run_0.85_5.fbx,0.08726486636442132,0.08398900926113129,1786.2103721628869,48.85475290279163
BBox_Run_0.85_6.fbx,0.09785842263954692,0.10205933451652527,2196.5832212939504,44.55029142119234
BBox_Run_0.85_7.fbx,0.08478102103981655,0.08622626960277557,1836.508021978909,46.16425304173825
BBox_Run_0.85_8.fbx,0.0956915143324295,0.10069198906421661,2165.201291458499,44.195204718343234
BBox_Run_0.85_9.fbx,0.09334964273148216,0.10213474929332733,2198.315642357629,42.4641670799228
BBox_Run_0.8_1.fbx,0.09035711589967832,0.08883216977119446,1895.2745622782452,47.674947840308214
BBox_Run_0.8_10.fbx,0.09084728295420064,0.0987698882818222,2121.1787747122175,42.82867810919237
BBox_Run_0.8_2.fbx,0.08716569998068735,0.08430154621601105,1793.2281385645153,48.6082602130389
BBox_Run_0.8_3.fbx,0.08071190770715475,0.0781686007976532,1656.0289075915514,48.738223914544015
