coordinates,coordinates.coordinates,coordinates.type,created_at,geo,geo.coordinates,geo.type,id,place.bounding_box.coordinates,place.bounding_box.type,place.contained_within,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
,"[-71.07923, 42.34756]",Point,Mon Apr 15 19:03:54 +0000 2019,,"[42.34756, -71.07923]",Point,1117866152829448192,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,"Off-ramp closed in #Boston on Mass Pike EB at IC 22 - Copley Sq, delay of 5 mins #traffic https://t.co/AoTr5OsSgQ",False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.07923, 42.34756]",Point,Mon Apr 15 13:41:53 +0000 2019,,"[42.34756, -71.07923]",Point,1117785115378241538,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,"Off-ramp closed in #Boston on Mass Pike EB at IC 22 - Copley Sq, stopped traffic back to Mass Ave, delay of 5 mins #traffic",False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.07923, 42.34756]",Point,Mon Apr 15 13:09:16 +0000 2019,,"[42.34756, -71.07923]",Point,1117776906160627712,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,"Off-ramp closed in #Boston on Mass Pike EB at IC 22 - Copley Sq, delay of 5 mins #traffic https://t.co/AoTr5OKtFq",False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.07923, 42.34756]",Point,Thu Apr 11 04:45:33 +0000 2019,,"[42.34756, -71.07923]",Point,1116200589908750336,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Closed in #Boston on Mass Pike EB at IC 22 - Copley Sq #traffic https://t.co/AoTr5OKtFq,False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.06112, 42.33037]",Point,Thu Apr 11 04:30:41 +0000 2019,,"[42.33037, -71.06112]",Point,1116196849520730112,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Closed in #Boston on Rt 93 NB from EX 16 - Southampton St to EX 18 - Mass Ave #traffic https://t.co/AoTr5OKtFq,False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.06112, 42.33037]",Point,Thu Apr 11 04:27:06 +0000 2019,,"[42.33037, -71.06112]",Point,1116195947204304896,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Closed in #Boston on Rt 93 NB from EX 16 - Southampton St to EX 20 - Mass Pike #traffic https://t.co/AoTr5OKtFq,False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.06112, 42.33037]",Point,Thu Apr 11 04:15:19 +0000 2019,,"[42.33037, -71.06112]",Point,1116192982426845185,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Closed in #Boston on Rt 93 NB from EX 16 - Southampton St and to EX 20 - Mass Pike #traffic https://t.co/AoTr5OKtFq,False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.05365, 42.36284]",Point,Wed Apr 10 03:37:11 +0000 2019,,"[42.36284, -71.05365]",Point,1115820996542509058,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Closed in #Boston on Rt 1A SB at Sumner Tunl #traffic https://t.co/AoTr5OKtFq,False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,"[-71.03821, 42.37323]",Point,Tue Apr 09 06:08:51 +0000 2019,,"[42.37323, -71.03821]",Point,1115496776637853697,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,Closed in #Boston on Rt 1A NB at Callahan Tunl #traffic https://t.co/AoTr5OKtFq,False,Tue Feb 08 23:36:19 +0000 2011,True,False,,[],,0,False,3260,False,1,True,False,249393984,249393984,False,False,en,138,"Boston, MA",TTWN Boston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,https://pbs.twimg.com/profile_images/439089134884253696/iOThgitH_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,TotalTrafficBOS,62031,,none,,,False
,,,Mon Apr 08 23:44:33 +0000 2019,,,,1115400064724295685,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",Polygon,[],United States,US,"Boston, MA",67b98f17fdcf20be,Boston,city,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,@shaleentitle Also pretty misleading photos on the cover. NETA closed the parking lot to keep the opening weekend l… https://t.co/0dzrJi47C9,False,Thu Apr 02 02:20:31 +0000 2009,False,False,"At the intersection of real estate, community and tech to realize the full potential of overlooked spaces. Director @Patronicity. #proptech #civictech #startup",[],"[{'display_url': 'buildingBOS.com', 'expanded_url': 'http://buildingBOS.com', 'indices': [0, 23], 'url': 'https://t.co/SGUfz1Tsw6'}]",43164,False,3853,False,2961,True,True,28259514,28259514,False,False,en,130,"Boston, MA",Jonathan Berk,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/28259514/1532364952,http://pbs.twimg.com/profile_images/1050414115653672961/PPJo69FI_normal.jpg,https://pbs.twimg.com/profile_images/1050414115653672961/PPJo69FI_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,False,berkie1,10859,,none,https://t.co/SGUfz1Tsw6,,False
