,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
0,66461868,-71.0889433,42.4041206,2295021981,-71.1211007,42.4098316,8:30
1,66461868,-71.0889433,42.4041206,2295021981,-71.1211007,42.4098316,15:30
2,66461868,-71.0889433,42.4041206,2295021981,-71.1211007,42.4098316,17:30
3,66465850,-71.0928814,42.4285204,66459547,-71.121782,42.411549,8:30
4,66465850,-71.0928814,42.4285204,66459547,-71.121782,42.411549,15:30
5,66465850,-71.0928814,42.4285204,66459547,-71.121782,42.411549,17:30
6,3191029804,-71.0945648,42.4062507,66435363,-71.11893,42.410403,8:30
7,3191029804,-71.0945648,42.4062507,66435363,-71.11893,42.410403,15:30
8,3191029804,-71.0945648,42.4062507,66435363,-71.11893,42.410403,17:30
9,66484409,-71.0950324,42.4278883,66464594,-71.125489,42.4102817,8:30
10,66484409,-71.0950324,42.4278883,66464594,-71.125489,42.4102817,15:30
11,66484409,-71.0950324,42.4278883,66464594,-71.125489,42.4102817,17:30
12,66452635,-71.081707,42.404687,66431273,-71.0876331,42.4401634,8:30
13,66452635,-71.081707,42.404687,66431273,-71.0876331,42.4401634,15:30
14,66452635,-71.081707,42.404687,66431273,-71.0876331,42.4401634,17:30
15,66427146,-71.0812429,42.4058406,66487416,-71.091316,42.4337965,8:30
16,66427146,-71.0812429,42.4058406,66487416,-71.091316,42.4337965,15:30
17,66427146,-71.0812429,42.4058406,66487416,-71.091316,42.4337965,17:30
18,66479782,-71.120223,42.40949,603331849,-71.0944729,42.4444197,8:30
19,66479782,-71.120223,42.40949,603331849,-71.0944729,42.4444197,15:30
20,66479782,-71.120223,42.40949,603331849,-71.0944729,42.4444197,17:30
21,66429178,-71.0924449,42.4301911,66457713,-71.119392,42.411164,8:30
22,66429178,-71.0924449,42.4301911,66457713,-71.119392,42.411164,15:30
23,66429178,-71.0924449,42.4301911,66457713,-71.119392,42.411164,17:30
24,66427651,-71.089918,42.437366,987867847,-71.0825504,42.4022647,8:30
25,66427651,-71.089918,42.437366,987867847,-71.0825504,42.4022647,15:30
26,66427651,-71.089918,42.437366,987867847,-71.0825504,42.4022647,17:30
27,66458544,-71.124606,42.411594,1095874191,-71.0945186,42.4063247,8:30
28,66458544,-71.124606,42.411594,1095874191,-71.0945186,42.4063247,15:30
29,66458544,-71.124606,42.411594,1095874191,-71.0945186,42.4063247,17:30
30,987868067,-71.0794823,42.4041164,66445753,-71.0905484,42.432587,8:30
31,987868067,-71.0794823,42.4041164,66445753,-71.0905484,42.432587,15:30
32,987868067,-71.0794823,42.4041164,66445753,-71.0905484,42.432587,17:30
33,66421825,-71.079618,42.410299,66421287,-71.123696,42.411082,8:30
34,66421825,-71.079618,42.410299,66421287,-71.123696,42.411082,15:30
35,66421825,-71.079618,42.410299,66421287,-71.123696,42.411082,17:30
36,66432078,-71.124367,42.410029,66478982,-71.084974,42.411069,8:30
37,66432078,-71.124367,42.410029,66478982,-71.084974,42.411069,15:30
38,66432078,-71.124367,42.410029,66478982,-71.084974,42.411069,17:30
39,66438944,-71.0949567,42.4059703,66463678,-71.120822,42.410936,8:30
40,66438944,-71.0949567,42.4059703,66463678,-71.120822,42.410936,15:30
41,66438944,-71.0949567,42.4059703,66463678,-71.120822,42.410936,17:30
42,66480496,-71.0944513,42.4117809,66434734,-71.0906923,42.4375967,8:30
43,66480496,-71.0944513,42.4117809,66434734,-71.0906923,42.4375967,15:30
44,66480496,-71.0944513,42.4117809,66434734,-71.0906923,42.4375967,17:30
45,66435752,-71.122522,42.410456,66454059,-71.089825,42.428182,8:30
46,66435752,-71.122522,42.410456,66454059,-71.089825,42.428182,15:30
47,66435752,-71.122522,42.410456,66454059,-71.089825,42.428182,17:30
48,66480560,-71.0848411,42.4112967,66432078,-71.124367,42.410029,8:30
49,66480560,-71.0848411,42.4112967,66432078,-71.124367,42.410029,15:30
50,66480560,-71.0848411,42.4112967,66432078,-71.124367,42.410029,17:30
51,5458722610,-71.0819095,42.4041114,66432078,-71.124367,42.410029,8:30
52,5458722610,-71.0819095,42.4041114,66432078,-71.124367,42.410029,15:30
53,5458722610,-71.0819095,42.4041114,66432078,-71.124367,42.410029,17:30
54,66475179,-71.0845861,42.4102051,66460293,-71.0904451,42.4353148,8:30
55,66475179,-71.0845861,42.4102051,66460293,-71.0904451,42.4353148,15:30
56,66475179,-71.0845861,42.4102051,66460293,-71.0904451,42.4353148,17:30
57,66463369,-71.1217444,42.4101564,66434417,-71.0950028,42.4058244,8:30
58,66463369,-71.1217444,42.4101564,66434417,-71.0950028,42.4058244,15:30
59,66463369,-71.1217444,42.4101564,66434417,-71.0950028,42.4058244,17:30
60,66422266,-71.081398,42.411447,66474482,-71.124367,42.411962,8:30
61,66422266,-71.081398,42.411447,66474482,-71.124367,42.411962,15:30
62,66422266,-71.081398,42.411447,66474482,-71.124367,42.411962,17:30
63,5458722610,-71.0819095,42.4041114,66430632,-71.1197266,42.4102581,8:30
64,5458722610,-71.0819095,42.4041114,66430632,-71.1197266,42.4102581,15:30
65,5458722610,-71.0819095,42.4041114,66430632,-71.1197266,42.4102581,17:30
66,66455987,-71.092648,42.4316018,66467645,-71.0944215,42.4065054,8:30
67,66455987,-71.092648,42.4316018,66467645,-71.0944215,42.4065054,15:30
68,66455987,-71.092648,42.4316018,66467645,-71.0944215,42.4065054,17:30
69,66421825,-71.079618,42.410299,66463369,-71.1217444,42.4101564,8:30
70,66421825,-71.079618,42.410299,66463369,-71.1217444,42.4101564,15:30
71,66421825,-71.079618,42.410299,66463369,-71.1217444,42.4101564,17:30
72,66430632,-71.1197266,42.4102581,66460293,-71.0904451,42.4353148,8:30
73,66430632,-71.1197266,42.4102581,66460293,-71.0904451,42.4353148,15:30
74,66430632,-71.1197266,42.4102581,66460293,-71.0904451,42.4353148,17:30
75,2295021981,-71.1211007,42.4098316,66449255,-71.092265,42.41105,8:30
76,2295021981,-71.1211007,42.4098316,66449255,-71.092265,42.41105,15:30
77,2295021981,-71.1211007,42.4098316,66449255,-71.092265,42.41105,17:30
78,66474562,-71.0750709,42.4047116,66428109,-71.088197,42.4412315,8:30
79,66474562,-71.0750709,42.4047116,66428109,-71.088197,42.4412315,15:30
80,66474562,-71.0750709,42.4047116,66428109,-71.088197,42.4412315,17:30
81,1705088998,-71.0952116,42.4369835,66486656,-71.081104,42.4062148,8:30
82,1705088998,-71.0952116,42.4369835,66486656,-71.081104,42.4062148,15:30
83,1705088998,-71.0952116,42.4369835,66486656,-71.081104,42.4062148,17:30
84,66435140,-71.120518,42.408775,66465407,-71.0801524,42.408819,8:30
85,66435140,-71.120518,42.408775,66465407,-71.0801524,42.408819,15:30
86,66435140,-71.120518,42.408775,66465407,-71.0801524,42.408819,17:30
87,66470876,-71.079753,42.4043706,66453420,-71.12203,42.411153,8:30
88,66470876,-71.079753,42.4043706,66453420,-71.12203,42.411153,15:30
89,66470876,-71.079753,42.4043706,66453420,-71.12203,42.411153,17:30
90,66430632,-71.1197266,42.4102581,66446518,-71.0950397,42.4343548,8:30
91,66430632,-71.1197266,42.4102581,66446518,-71.0950397,42.4343548,15:30
92,66430632,-71.1197266,42.4102581,66446518,-71.0950397,42.4343548,17:30
93,66450694,-71.090072,42.436659,66452671,-71.126283,42.410583,8:30
94,66450694,-71.090072,42.436659,66452671,-71.126283,42.410583,15:30
95,66450694,-71.090072,42.436659,66452671,-71.126283,42.410583,17:30
96,66442203,-71.0897191,42.4326826,66443549,-71.122337,42.410717,8:30
97,66442203,-71.0897191,42.4326826,66443549,-71.122337,42.410717,15:30
98,66442203,-71.0897191,42.4326826,66443549,-71.122337,42.410717,17:30
99,66435752,-71.122522,42.410456,66422615,-71.0917714,42.4407526,8:30
100,66435752,-71.122522,42.410456,66422615,-71.0917714,42.4407526,15:30
101,66435752,-71.122522,42.410456,66422615,-71.0917714,42.4407526,17:30
102,66428836,-71.093243,42.4303988,66477869,-71.0946584,42.4062944,8:30
103,66428836,-71.093243,42.4303988,66477869,-71.0946584,42.4062944,15:30
104,66428836,-71.093243,42.4303988,66477869,-71.0946584,42.4062944,17:30
105,66455391,-71.0946151,42.4376473,66443549,-71.122337,42.410717,8:30
106,66455391,-71.0946151,42.4376473,66443549,-71.122337,42.410717,15:30
107,66455391,-71.0946151,42.4376473,66443549,-71.122337,42.410717,17:30
