,osmid_start,x_start,y_start,start_zone,osmid_end,x_end,y_end,end_zone,Time
0,66450694,-71.090072,42.436659,1,66449255,-71.092265,42.41105,2,8:30
1,66450694,-71.090072,42.436659,1,66449255,-71.092265,42.41105,2,15:30
2,66450694,-71.090072,42.436659,1,66449255,-71.092265,42.41105,2,17:30
3,66436104,-71.0889505,42.4399985,1,66445131,-71.0908802,42.4110449,2,8:30
4,66436104,-71.0889505,42.4399985,1,66445131,-71.0908802,42.4110449,2,15:30
5,66436104,-71.0889505,42.4399985,1,66445131,-71.0908802,42.4110449,2,17:30
6,66483089,-71.0943239,42.4306754,1,3191029804,-71.0945648,42.4062507,2,8:30
7,66483089,-71.0943239,42.4306754,1,3191029804,-71.0945648,42.4062507,2,15:30
8,66483089,-71.0943239,42.4306754,1,3191029804,-71.0945648,42.4062507,2,17:30
9,66474562,-71.0750709,42.4047116,2,66422683,-71.127038,42.410869,0,8:30
10,66474562,-71.0750709,42.4047116,2,66422683,-71.127038,42.410869,0,15:30
11,66474562,-71.0750709,42.4047116,2,66422683,-71.127038,42.410869,0,17:30
12,66481516,-71.0887088,42.4339288,1,66461868,-71.0889433,42.4041206,2,8:30
13,66481516,-71.0887088,42.4339288,1,66461868,-71.0889433,42.4041206,2,15:30
14,66481516,-71.0887088,42.4339288,1,66461868,-71.0889433,42.4041206,2,17:30
15,66463369,-71.1217444,42.4101564,0,66429172,-71.09071,42.411046,2,8:30
16,66463369,-71.1217444,42.4101564,0,66429172,-71.09071,42.411046,2,15:30
17,66463369,-71.1217444,42.4101564,0,66429172,-71.09071,42.411046,2,17:30
18,66458871,-71.0902949,42.4384277,1,66469583,-71.0889423,42.4039865,2,8:30
19,66458871,-71.0902949,42.4384277,1,66469583,-71.0889423,42.4039865,2,15:30
20,66458871,-71.0902949,42.4384277,1,66469583,-71.0889423,42.4039865,2,17:30
21,66453420,-71.12203,42.411153,0,66484632,-71.0930686,42.4407625,1,8:30
22,66453420,-71.12203,42.411153,0,66484632,-71.0930686,42.4407625,1,15:30
23,66453420,-71.12203,42.411153,0,66484632,-71.0930686,42.4407625,1,17:30
24,1755511237,-71.0918788,42.4283532,1,66445763,-71.121871,42.41055,0,8:30
25,1755511237,-71.0918788,42.4283532,1,66445763,-71.121871,42.41055,0,15:30
26,1755511237,-71.0918788,42.4283532,1,66445763,-71.121871,42.41055,0,17:30
27,1538929983,-71.090581,42.4334053,1,66421825,-71.079618,42.410299,2,8:30
28,1538929983,-71.090581,42.4334053,1,66421825,-71.079618,42.410299,2,15:30
29,1538929983,-71.090581,42.4334053,1,66421825,-71.079618,42.410299,2,17:30
30,66474482,-71.124367,42.411962,0,66479203,-71.0828693,42.407687,2,8:30
31,66474482,-71.124367,42.411962,0,66479203,-71.0828693,42.407687,2,15:30
32,66474482,-71.124367,42.411962,0,66479203,-71.0828693,42.407687,2,17:30
33,66430632,-71.1197266,42.4102581,0,66486226,-71.0915839,42.4362919,1,8:30
34,66430632,-71.1197266,42.4102581,0,66486226,-71.0915839,42.4362919,1,15:30
35,66430632,-71.1197266,42.4102581,0,66486226,-71.0915839,42.4362919,1,17:30
36,66452245,-71.123088,42.409608,0,66461500,-71.080966,42.406588,2,8:30
37,66452245,-71.123088,42.409608,0,66461500,-71.080966,42.406588,2,15:30
38,66452245,-71.123088,42.409608,0,66461500,-71.080966,42.406588,2,17:30
39,66427664,-71.120235,42.410581,0,66457133,-71.0848474,42.4104752,2,8:30
40,66427664,-71.120235,42.410581,0,66457133,-71.0848474,42.4104752,2,15:30
41,66427664,-71.120235,42.410581,0,66457133,-71.0848474,42.4104752,2,17:30
42,5934881684,-71.0818031,42.4059142,2,66440950,-71.091994,42.439801,1,8:30
43,5934881684,-71.0818031,42.4059142,2,66440950,-71.091994,42.439801,1,15:30
44,5934881684,-71.0818031,42.4059142,2,66440950,-71.091994,42.439801,1,17:30
45,3191029804,-71.0945648,42.4062507,2,66479782,-71.120223,42.40949,0,8:30
46,3191029804,-71.0945648,42.4062507,2,66479782,-71.120223,42.40949,0,15:30
47,3191029804,-71.0945648,42.4062507,2,66479782,-71.120223,42.40949,0,17:30
48,66434546,-71.0918899,42.428293,1,66430632,-71.1197266,42.4102581,0,8:30
49,66434546,-71.0918899,42.428293,1,66430632,-71.1197266,42.4102581,0,15:30
50,66434546,-71.0918899,42.428293,1,66430632,-71.1197266,42.4102581,0,17:30
51,66432656,-71.0936359,42.4425273,1,987867847,-71.0825504,42.4022647,2,8:30
52,66432656,-71.0936359,42.4425273,1,987867847,-71.0825504,42.4022647,2,15:30
53,66432656,-71.0936359,42.4425273,1,987867847,-71.0825504,42.4022647,2,17:30
54,66430632,-71.1197266,42.4102581,0,66446820,-71.082181,42.4066876,2,8:30
55,66430632,-71.1197266,42.4102581,0,66446820,-71.082181,42.4066876,2,15:30
56,66430632,-71.1197266,42.4102581,0,66446820,-71.082181,42.4066876,2,17:30
57,66422266,-71.081398,42.411447,2,66445763,-71.121871,42.41055,0,8:30
58,66422266,-71.081398,42.411447,2,66445763,-71.121871,42.41055,0,15:30
59,66422266,-71.081398,42.411447,2,66445763,-71.121871,42.41055,0,17:30
60,66487391,-71.089428,42.4350703,1,66452671,-71.126283,42.410583,0,8:30
