Chapter,Line,Character,Major,Mandarin,Pinyin,Definition
1,1,1,sad,道,dào,"/ principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)"
1,1,2,sun,可,kě,can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very
1,1,3,assume,道,dào,"/ principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)"
1,1,4,sorry,",非",fēi,to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must
1,1,5,soil,常,cháng,always / ever / often / frequently / common / general / constant
1,1,6,switch,道。,dào,"/ principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)"
1,2,7,sick,名,míng,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
1,2,8,sofa,可,kě,can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very
1,2,9,sob,名,míng,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
1,2,10,dizzy,",非",fēi,to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must
1,2,11,tattoo,常,cháng,always / ever / often / frequently / common / general / constant
1,2,12,widen,名。,míng,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
1,3,13,tame,無,wú,not to have / no / none / not / to lack / un- / -less
1,3,14,diary,名,míng,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
1,3,15,tell,天,tiān,day / sky / heaven
1,3,16,whitish,地,dì,earth / ground / field / place / land / CL: 片
1,3,17,dog,之,zhī,"(possessive particle, literary equivalent of 的) / him / her / it"
1,3,18,defy,始;,shǐ,to begin / to start / then / only then
1,4,19,deep,有,yǒu,to have / there is / there are / to exist / to be
1,4,20,nose,名,míng,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
