TaoLine,Family,MemoryFileSmall,LargeMemory,LineNumber,TimesSeen,Points,SessionSeen,Chapter,T#Line
chapter 1,sauce,sassy,isis oasis,1-0,0.0,0.0,0.0,1,0
the tao that can be told,sauce,seed,seaside,1-1,0.0,0.0,0.0,1,1
is not the eternal tao,sauce,assign,assassin,1-2,0.0,0.0,0.0,1,2
the name that can be named,sauce,awesome,sesame,1-3,0.0,0.0,0.0,1,3
is not the eternal name,sauce,sierra,assessor,1-4,0.0,0.0,0.0,1,4
the unnameable is the eternally real,sauce,sell,sizzle,1-5,0.0,0.0,0.0,1,5
naming is the origin,sauce,swishy,sissyish,1-6,0.0,0.0,0.0,1,6
of all particular things,sauce,sky,soy sauce,1-7,0.0,0.0,0.0,1,7
free from desire you realize the mystery,sauce,save,suasive,1-8,0.0,0.0,0.0,1,8
caught in desire you see only the manifestations,sauce,sappy,seesaw oboe,1-9,0.0,0.0,0.0,1,9
yet mystery and manifestations,sauce,daisy,hostess,1-10,0.0,0.0,0.0,1,10
arise from the same source,sauce,edit,stud,1-11,0.0,0.0,0.0,1,11
this source is called darkness,sauce,wooden,satan,1-12,0.0,0.0,0.0,1,12
darkness within darkness,sauce,dome,sodium,1-13,0.0,0.0,0.0,1,13
the gateway to all understanding,sauce,draw,oyster,1-14,0.0,0.0,0.0,1,14
chapter 2,sauce,tall,saddle,2-0,0.0,0.0,0.0,2,15
when people see some things as beautiful,sauce,dish,swedish,2-1,0.0,0.0,0.0,2,16
other things become ugly,sauce,take,stooge,2-2,0.0,0.0,0.0,2,17
when people see some things as good,sauce,deaf,stove,2-3,0.0,0.0,0.0,2,18
other things become bad,sauce,tuba,isotope,2-4,0.0,0.0,0.0,2,19
being and non being create each other,sauce,ionize,sinews,2-5,0.0,0.0,0.0,2,20
difficult and easy support each other,sauce,neat,sonnet,2-6,0.0,0.0,0.0,2,21
long and short define each other,sauce,onion,suny oxen,2-7,0.0,0.0,0.0,2,22
high and low depend on each other,sauce,name,asian exam,2-8,0.0,0.0,0.0,2,23
before and after follow each other,sauce,narrow,snare,2-9,0.0,0.0,0.0,2,24
therefore the master,sauce,nail,snail,2-10,0.0,0.0,0.0,2,25
acts without doing anything,sauce,enjoy,snowshoe,2-11,0.0,0.0,0.0,2,26
and teaches without saying anything,sauce,naggy,snake,2-12,0.0,0.0,0.0,2,27
things arise and she lets them come,sauce,knife,snuff,2-13,0.0,0.0,0.0,2,28
things disappear and she lets them go,sauce,nab,snoopy,2-14,0.0,0.0,0.0,2,29
she has but doesnt possess,sauce,messy,siamese,2-15,0.0,0.0,0.0,2,30
acts but doesnt expect,sauce,meadow,housemade,2-16,0.0,0.0,0.0,2,31
when her work is done she forgets it,sauce,mine,summon,2-17,0.0,0.0,0.0,2,32
that is why it lasts forever,sauce,mum,osmium,2-18,0.0,0.0,0.0,2,33
chapter 3,sauce,emery,samurai,3-0,0.0,0.0,0.0,3,34
if you over esteem great men,sauce,mail,sawmill,3-1,0.0,0.0,0.0,3,35
people become powerless,sauce,mushy,smooch,3-2,0.0,0.0,0.0,3,36
if you overvalue possessions,sauce,mug,smoke,3-3,0.0,0.0,0.0,3,37
people begin to steal,sauce,move,asimov,3-4,0.0,0.0,0.0,3,38
the master leads,sauce,wimpy,samba,3-5,0.0,0.0,0.0,3,39
by emptying peoples minds,sauce,rice,seahorse,3-6,0.0,0.0,0.0,3,40
and filling their cores,sauce,read,sword,3-7,0.0,0.0,0.0,3,41
by weakening their ambition,sauce,runny,siren,3-8,0.0,0.0,0.0,3,42
and toughening their resolve,sauce,rum,swarm,3-9,0.0,0.0,0.0,3,43
he helps people lose everything,sauce,rear,sir rex,3-10,0.0,0.0,0.0,3,44
they know everything they desire,sauce,royal,israeli,3-11,0.0,0.0,0.0,3,45
and creates confusion,sauce,roach,search,3-12,0.0,0.0,0.0,3,46
in those who think that they know,sauce,rake,surge,3-13,0.0,0.0,0.0,3,47
practice not doing,sauce,rough,serf,3-14,0.0,0.0,0.0,3,48
and everything will fall into place,sauce,rope,syrup,3-15,0.0,0.0,0.0,3,49
chapter 4,sauce,lose,salsa,4-0,0.0,0.0,0.0,4,50
the tao is like a well,sauce,elite,solid,4-1,0.0,0.0,0.0,4,51
used but never used up,sauce,lion,saloon,4-2,0.0,0.0,0.0,4,52
it is like the eternal void,sauce,loom,asylum,4-3,0.0,0.0,0.0,4,53
filled with infinite possibilities,sauce,leery,salor,4-4,0.0,0.0,0.0,4,54
it is hidden but always present,sauce,lily,slyly,4-5,0.0,0.0,0.0,4,55
i dont know who gave birth to it,sauce,latch,slush,4-6,0.0,0.0,0.0,4,56
it is older than god,sauce,lucky,slug,4-7,0.0,0.0,0.0,4,57
chapter 5,sauce,lava,slave,5-0,0.0,0.0,0.0,5,58
the tao doesnt take sides,sauce,help,slob,5-1,0.0,0.0,0.0,5,59
it gives birth to both good and evil,sauce,choosy,schizo,5-2,0.0,0.0,0.0,5,60
the master doesnt take sides,sauce,cheetah,sushi tax,5-3,0.0,0.0,0.0,5,61
she welcomes both saints and sinners,sauce,chain,sichuan,5-4,0.0,0.0,0.0,5,62
the tao is like a bellows,sauce,sham,scheme,5-5,0.0,0.0,0.0,5,63
it is empty yet infinitely capable,sauce,shrew,escher,5-6,0.0,0.0,0.0,5,64
the more you use it the more it produces,sauce,chill,school,5-7,0.0,0.0,0.0,5,65
the more you talk of it the less you understand,sauce,Jewish,sushi chew,5-8,0.0,0.0,0.0,5,66
hold on to the center,sauce,chick,hazy juice,5-9,0.0,0.0,0.0,5,67
chapter 6,sauce,achieve,sexy jehova,6-0,0.0,0.0,0.0,6,68
the tao is called the great mother,sauce,cheap,sexy shop,6-1,0.0,0.0,0.0,6,69
empty yet inexhaustible,sauce,goose,success,6-2,0.0,0.0,0.0,6,70
it gives birth to infinite worlds,sauce,quote,squid,6-3,0.0,0.0,0.0,6,71
it is always present within you,sauce,keen,sign,6-4,0.0,0.0,0.0,6,72
you can use it any way you want,sauce,game,eskimo,6-5,0.0,0.0,0.0,6,73
chapter 7,sauce,carry,sugar,7-0,0.0,0.0,0.0,7,74
the tao is infinite eternal,sauce,cool,skull,7-1,0.0,0.0,0.0,7,75
why is it eternal,sauce,cage,squash,7-2,0.0,0.0,0.0,7,76
it was never born,sauce,cook,squeegee,7-3,0.0,0.0,0.0,7,77
thus it can never die,sauce,goofy,sci-fi,7-4,0.0,0.0,0.0,7,78
why is it infinite,sauce,cube,scuba,7-5,0.0,0.0,0.0,7,79
it has no desires for itself,sauce,fuse,housewives,7-6,0.0,0.0,0.0,7,80
thus it is present for all beings,sauce,fat,safety,7-7,0.0,0.0,0.0,7,81
the master stays behind,sauce,fan,saxophone,7-8,0.0,0.0,0.0,7,82
that is why she is ahead,sauce,fume,sexy foam,7-9,0.0,0.0,0.0,7,83
